"Title","CELEX number","ECLI identifier","Date of document","Author",
"Guideline (EU) 2015/510 of the European Central Bank of 19 December 2014 on the implementation of the Eurosystem monetary policy framework (ECB/2014/60)","32014O0060","","2014-12-19","European Central Bank",
"Decision (EU) 2015/509 of the European Central Bank of 18 February 2015 repealing Decision ECB/2013/6 on the rules concerning the use as collateral for Eurosystem monetary policy operations of own-use uncovered government-guaranteed bank bonds, Decision ECB/2013/35 on additional measures relating to Eurosystem refinancing operations and eligibility of collateral and Articles 1, 3 and 4 of Decision ECB/2014/23 on the remuneration of deposits, balances and holdings of excess reserves (ECB/2015/9)","32015D0009","","2015-02-18","European Central Bank",
"Regulation (EU) 2015/534 of the European Central Bank of 17 March 2015 on reporting of supervisory financial information (ECB/2015/13)","32015R0534","","2015-03-17","European Central Bank",
"Decision (EU) 2015/530 of the European Central Bank of 11 February 2015 on the methodology and procedures for the determination and collection of data regarding fee factors used to calculate annual supervisory fees (ECB/2015/7)","32015D0007","","2015-02-11","European Central Bank",
"Decision (EU) 2015/529 of the European Central Bank of 21 January 2015 amending Decision ECB/2004/3 on public access to European Central Bank documents (ECB/2015/1)","32015D0001","","2015-01-21","European Central Bank",
"Decision (EU) 2015/433 of the European Central Bank of 17 December 2014 concerning the establishment of an Ethics Committee and its Rules of Procedure (ECB/2014/59)","32014D0059(01)","","2014-12-17","European Central Bank",
"Guideline (EU) 2015/426 of the European Central Bank of 15 December 2014 amending Guideline ECB/2010/20 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2014/54)","32014O0054","","2014-12-15","European Central Bank",
"Decision (EU) 2015/425 of the European Central Bank of 15 December 2014 amending Decision ECB/2010/21 on the annual accounts of the European Central Bank (ECB/2014/55)","32014D0055","","2014-12-15","European Central Bank",
"Amendment 1/2014 of 15 December 2014 to the Rules of Procedure of the Supervisory Board of the European Central Bank","32015Q0313(01)","","2015-03-13","European Central Bank",
"Decision (EU) 2015/298 of the European Central Bank of 15 December 2014 on the interim distribution of the income of the European Central Bank (ECB/2014/57)","32014D0057(01)","","2014-12-15","European Central Bank",
"Decision (EU) 2015/299 of the European Central Bank of 10 February 2015 amending Decision ECB/2014/34 on measures relating to targeted longer-term refinancing operations (ECB/2015/5)","32015D0005","","2015-02-10","European Central Bank",
"Decision (EU) 2015/297 of the European Central Bank of 15 December 2014 amending Decision ECB/2010/23 on the allocation of monetary income of the national central banks of Member States whose currency is the euro (ECB/2014/56)","32014D0056(01)","","2014-12-15","European Central Bank",
"Decision (EU) 2015/300 of the European Central Bank of 10 February 2015 on the eligibility of marketable debt instruments issued or fully guaranteed by the Hellenic Republic (ECB/2015/6)","32015D0006","","2015-02-10","European Central Bank",
"Decision (EU) 2015/287 of the European Central Bank of 31 December 2014 on the paying-up of capital, transfer of foreign reserve assets and contributions by Lietuvos bankas to the European Central Bank's reserves and provisions (ECB/2014/61)","32014D0061(01)","","2014-12-31","European Central Bank",
"Agreement of 13 November 2014 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 16 March 2006 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of Economic and Monetary Union","32015Y0221(01)","","2014-11-13","European Central Bank, Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom",
"Decision (EU) 2015/286 of the European Central Bank of 27 November 2014 amending Decision ECB/2010/29 on the issue of euro banknotes (ECB/2014/49)","32014D0049(01)","","2014-11-27","European Central Bank",
"Agreement of 31 December 2014 between Lietuvos bankas and the European Central Bank regarding the claim credited to Lietuvos bankas by the European Central Bank under Article 30.3 of the Statute of the European System of Central Banks and of the European Central Bank","32015Y0221(02)","","2014-12-31","European Central Bank, Lithuania",
"Guideline (EU) 2015/280 of the European Central Bank of 13 November 2014 on the establishment of the Eurosystem Production and Procurement System (ECB/2014/44)","32014O0044","","2014-11-13","European Central Bank",
"Decision (EU) 2015/32 of the European Central Bank of 29 December 2014 concerning derogations that may be granted under Regulation (EU) No 1073/2013 concerning statistics on the assets and liabilities of investment funds (ECB/2013/38) (ECB/2014/62)","32014D0062(01)","","2014-12-29","European Central Bank",
"Decision (EU) 2015/5 of the European Central Bank of 19 November 2014 on the implementation of the asset-backed securities purchase programme (ECB/2014/45)","32014D0045(01)","","2014-11-19","European Central Bank",
"Regulation (EU) No 1376/2014 of the European Central Bank of 10 December 2014 amending Regulation (EC) No 1745/2003 on the application of minimum reserves (ECB/2003/9) (ECB/2014/52)","32014R1376","","2014-12-10","European Central Bank",
"Regulation (EU) No 1375/2014 of the European Central Bank of 10 December 2014 amending Regulation (EU) No 1071/2013 concerning the balance sheet of the monetary financial institutions sector (ECB/2013/33) (ECB/2014/51)","32014R1375","","2014-12-10","European Central Bank",
"Regulation (EU) No 1374/2014 of the European Central Bank of 28 November 2014 on statistical reporting requirements for insurance corporations (ECB/2014/50)","32014R1374","","2014-11-28","European Central Bank",
"2014/937/EU: Decision of the European Central Bank of 11 December 2014 on the approval of the volume of coin issuance in 2015 (ECB/2014/53)","32014D0053(01)","","2014-12-11","European Central Bank",
"Regulation (EU) No 1333/2014 of the European Central Bank of 26 November 2014 concerning statistics on the money markets (ECB/2014/48)","32014R1333","","2014-11-26","European Central Bank",
"2014/870/EU: Guideline of the European Central Bank of 19 November 2014 amending Guideline ECB/2014/31 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral and amending Guideline ECB/2007/9 (ECB/2014/46)","32014O0046","","2014-11-19","European Central Bank",
"2014/856/EU: Decision of the European Central Bank of 24 November 2014 amending Decision ECB/2013/46 on the approval of the volume of coin issuance in 2014 (ECB/2014/47)","32014D0047(01)","","2014-11-24","European Central Bank",
"2014/810/EU: Guideline of the European Central Bank of 4 April 2014 on monetary and financial statistics (ECB/2014/15)","32014O0015","","2014-04-04","European Central Bank",
"2014/828/EU: Decision of the European Central Bank of 15 October 2014 on the implementation of the third covered bond purchase programme (ECB/2014/40)","32014D0040(01)","","2014-10-15","European Central Bank",
"2014/781/EU: Decision of the European Central Bank of 21 October 2014 on transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Lithuania (ECB/2014/42)","32014D0042(01)","","2014-10-21","European Central Bank",
"Regulation (EU) No 1163/2014 of the European Central Bank of 22 October 2014 on supervisory fees (ECB/2014/41)","32014R1163","","2014-10-22","European Central Bank",
"2014/723/EU: Decision of the European Central Bank of 17 September 2014 on the implementation of separation between the monetary policy and supervision functions of the European Central Bank (ECB/2014/39)","32014D0039(01)","","2014-09-17","European Central Bank",
"2014/671/EU: Decision of the European Central Bank of 1 September 2014 amending Decision ECB/2013/35 on additional measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2014/38)","32014D0038(01)","","2014-09-01","European Central Bank",
"2014/647/EU: Guideline of the European Central Bank of 3 June 2014 amending Guideline ECB/2013/23 on government finance statistics (ECB/2014/21)","32014O0021","","2014-06-03","European Central Bank",
"2014/541/EU: Decision of the European Central Bank of 29 July 2014 on measures relating to targeted longer-term refinancing operations (ECB/2014/34)","32014D0034","","2014-07-29","European Central Bank",
"2014/533/EU: Decision of the European Central Bank of 13 August 2014 on the identification of TARGET2 as a systemically important payment system pursuant to Regulation (EU) No 795/2014 on oversight requirements for systemically important payment systems (ECB/2014/35)","32014D0035(01)","","2014-08-13","European Central Bank",
"2014/528/EU: Guideline of the European Central Bank of 9 July 2014 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral and amending Guideline ECB/2007/9 (ECB/2014/31)","32014O0031","","2014-07-09","European Central Bank",
"2014/527/EU: Decision of the European Central Bank of 9 July 2014 repealing Decision ECB/2013/22 on temporary measures relating to the eligibility of marketable debt instruments issued or fully guaranteed by the Republic of Cyprus and Decision ECB/2013/36 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2014/32)","32014D0032","","2014-07-09","European Central Bank",
"Regulation of the European Central Bank (EU) No 795/2014 of 3 July 2014 on oversight requirements for systemically important payment systems (ECB/2014/28)","32014R0795","","2014-07-03","European Central Bank",
"2014/477/EU: Decision of the European Central Bank of 2 July 2014 on the provision to the European Central Bank of supervisory data reported to the national competent authorities by the supervised entities pursuant to Commission Implementing Regulation (EU) No 680/2014 (ECB/2014/29)","32014D0029(01)","","2014-07-02","European Central Bank",
"Regulation (EU) No 756/2014 of the European Central Bank of 8 July 2014 amending Regulation (EU) No 1072/2013 (ECB/2013/34) concerning statistics on interest rates applied by monetary financial institutions (ECB/2014/30)","32014R0756","","2014-07-08","European Central Bank",
"2014/434/EU: Decision of the European Central Bank of 31 January 2014 on the close cooperation with the national competent authorities of participating Member States whose currency is not the euro (ECB/2014/5)","32014D0005(01)","","2014-01-31","European Central Bank",
"2014/427/EU: Decision of the European Central Bank of 6 February 2014 on the appointment of representatives of the European Central Bank to the Supervisory Board (ECB/2014/4)","32014D0004(01)","","2014-02-06","European Central Bank",
"2014/418/EU: Decision of the European Central Bank of 16 June 2014 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2014/27)","32014D0027(01)","","2014-06-16","European Central Bank",
"Regulation (EU) No 673/2014 of the European Central Bank of 2 June 2014 concerning the establishment of a Mediation Panel and its Rules of Procedure (ECB/2014/26)","32014R0673","","2014-06-02","European Central Bank",
"Rules of procedure of the Supervisory Board of the European Central Bank","32014Q0621(01)","","2014-03-31","European Central Bank",
"2014/360/EU: Decision of the European Central Bank of 14 April 2014 concerning the establishment of an Administrative Board of Review and its Operating Rules (ECB/2014/16)","32014D0016(01)","","2014-04-14","European Central Bank",
"2014/337/EU: Decision of the European Central Bank of 5 June 2014 on the remuneration of deposits, balances and holdings of excess reserves (ECB/2014/23)","32014D0023(01)","","2014-06-05","European Central Bank",
"2014/339/EU: Guideline of the European Central Bank of 5 June 2014 amending Guideline ECB/2014/9 on domestic asset and liability management operations by the national central banks (ECB/2014/22)","32014O0022","","2014-06-05","European Central Bank",
"2014/338/EU: Decision of the European Central Bank of 5 June 2014 amending Decision ECB/2010/23 on the allocation of monetary income of the national central banks of Member States whose currency is the euro (ECB/2014/24)","32014D0024(01)","","2014-06-05","European Central Bank",
"2014/340/EU: Guideline of the European Central Bank of 5 June 2014 amending Guideline ECB/2012/27 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2014/25)","32014O0025","","2014-06-05","European Central Bank",
"2014/329/EU: Guideline of the European Central Bank of 12 March 2014 amending Guideline ECB/2011/14 on monetary policy instruments and procedures of the Eurosystem (ECB/2014/10)","32014O0010","","2014-03-12","European Central Bank",
"2014/330/EU: Guideline of the European Central Bank of 12 March 2014 amending Guideline ECB/2013/4 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral and amending Guideline ECB/2007/9 (ECB/2014/12)","32014O0012","","2014-03-12","European Central Bank",
"2014/328/EU: Decision of the European Central Bank of 12 March 2014 amending Decision ECB/2013/35 on additional measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2014/11)","32014D0328","","2014-03-12","European Central Bank",
"2014/304/EU: Guideline of the European Central Bank of 20 February 2014 on domestic asset and liability management operations by the national central banks (ECB/2014/9)","32014O0009","","2014-02-20","European Central Bank",
"2014/303/EU: Decision of the European Central Bank of 20 February 2014 on the prohibition of monetary financing and the remuneration of government deposits by national central banks (ECB/2014/8)","32014D0008(01)","","2014-02-20","European Central Bank",
"Regulation (EU) No 468/2014 of the European Central Bank of 16 April 2014 establishing the framework for cooperation within the Single Supervisory Mechanism between the European Central Bank and national competent authorities and with national designated authorities (SSM Framework Regulation) (ECB/2014/17)","32014R0468","","2014-04-16","European Central Bank",
"Regulation (EU) No 469/2014 of the European Central Bank of 16 April 2014 amending Regulation (EC) No 2157/1999 on the powers of the European Central Bank to impose sanctions (ECB/1999/4) (ECB/2014/18)","32014R0469","","2014-04-16","European Central Bank",
"(2014/192/EU): Decision of the European Central Bank of 24 February 2014 on the organisation of preparatory measures for the collection of granular credit data by the European System of Central Banks (ECB/2014/6)","32014D0006(01)","","2014-02-24","European Central Bank",
"2014/179/EU: Decision of the European Central Bank of 22 January 2014 amending Decision ECB/2004/2 adopting the Rules of Procedure of the European Central Bank (ECB/2014/1)","32014D0001(01)","","2014-01-22","European Central Bank",
"2014/123/EU: Decision of the European Central Bank of 4 February 2014 identifying the credit institutions that are subject to the comprehensive assessment (ECB/2014/3)","32014D0003(01)","","2014-02-04","European Central Bank",
"2014/114/EU: Guideline of the European Central Bank of 28 November 2013 amending Guideline ECB/2008/5 on the management of the foreign reserve assets of the European Central Bank by the national central banks and the legal documentation for operations involving such assets (ECB/2013/45)","32013O0045","","2013-11-28","European Central Bank",
"2014/106/EU: Decision of the European Central Bank of 20 December 2013 on the accreditation procedures for manufacturers of euro secure items and euro items and amending Decision ECB/2008/3 (ECB/2013/54)","32013D0054(01)","","2013-12-20","European Central Bank",
"2014/55/EU: Decision of the European Central Bank of 27 December 2013 amending Decision ECB/2010/21 on the annual accounts of the European Central Bank (ECB/2013/52)","32013D0052(01)","","2013-12-27","European Central Bank",
"2014/54/EU: Guideline of the European Central Bank of 18 December 2013 amending Guideline ECB/2004/18 on the procurement of euro banknotes (ECB/2013/49)","32013O0049","","2013-12-18","European Central Bank",
"2014/29/EU: Decision of the European Central Bank of 29 August 2013 amending Decision ECB/2010/29 on the issue of euro banknotes (ECB/2013/27)","32013D0027(01)","","2013-08-29","European Central Bank",
"2014/32/EU: Decision of the European Central Bank of 29 August 2013 on the paying-up of the European Central Bank’s capital by the national central banks of Member States whose currency is the euro (ECB/2013/30)","32013D0030(01)","","2013-08-29","European Central Bank",
"2014/30/EU: Decision of the European Central Bank of 29 August 2013 on the national central banks’ percentage shares in the key for subscription to the European Central Bank’s capital (ECB/2013/28)","32013D0028(01)","","2013-08-29","European Central Bank",
"2014/31/EU: Decision of the European Central Bank of 29 August 2013 laying down the terms and conditions for transfers of the European Central Bank’s capital shares between the national central banks and for the adjustment of the paid-up capital (ECB/2013/29)","32013D0029(01)","","2013-08-29","European Central Bank",
"2014/28/EU: Decision of the European Central Bank of 29 August 2013 laying down the measures necessary for the contribution to the European Central Bank’s accumulated equity value and for adjusting the national central banks’ claims equivalent to the transferred foreign reserve assets (ECB/2013/26)","32013D0026(01)","","2013-08-29","European Central Bank",
"2014/33/EU: Decision of the European Central Bank of 30 August 2013 on the paying-up of the European Central Bank’s capital by the non-euro area national central banks (ECB/2013/31)","32013D0031(01)","","2013-08-30","European Central Bank",
"2014/34/EU: Decision of the European Central Bank of 31 December 2013 on the paying-up of capital, transfer of foreign reserve assets and contributions by Latvijas Banka to the European Central Bank’s reserves and provisions (ECB/2013/53)","32013D0053(01)","","2013-12-31","European Central Bank",
"Agreement of 31 December 2013 between Latvijas Banka and the European Central Bank regarding the claim credited to Latvijas Banka by the European Central Bank under Article 30.3 of the Statute of the European System of Central Banks and of the European Central Bank","32014Y0121(02)","","2013-12-31","European Central Bank",
"Agreement of 6 December 2013 between the European Central Bank and the national central banks of the Member States outside the euro area amending the Agreement of 16 March 2006 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of economic and monetary union","32014Y0121(01)","","2013-12-06","European Central Bank",
"2014/4/EU: Decision of the European Central Bank of 22 October 2013 on transitional provisions for the application of minimum reserves by the European Central Bank following the introduction of the euro in Latvia (ECB/2013/41)","32013D0041(01)","","2013-10-22","European Central Bank",
"2014/3/EU: Guideline of the European Central Bank of 25 July 2013 on the statistical reporting requirements of the European Central Bank in the field of quarterly financial accounts (ECB/2013/24)","32013O0024","","2013-07-25","European Central Bank",
"2014/2/EU: Guideline of the European Central Bank of 25 July 2013 on government finance statistics (ECB/2013/23)","32013O0023","","2013-07-25","European Central Bank",
"Regulation (EU) No 1409/2013 of the European Central Bank of 28 November 2013 on payments statistics (ECB/2013/43)","32013R1409","","2013-11-28","European Central Bank",
"2013/796/EU: Decision of the European Central Bank of 6 December 2013 on the approval of the volume of coin issuance in 2014 (ECB/2013/46)","32013D0046(01)","","2013-12-06","European Central Bank",
"2013/750/EU: Guideline of the European Central Bank of 26 September 2013 amending Guideline ECB/2012/27 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2013/37)","32013O0037","","2013-09-26","European Central Bank",
"2013/694/EU: Interinstitutional Agreement between the European Parliament and the European Central Bank on the practical modalities of the exercise of democratic accountability and oversight over the exercise of the tasks conferred on the ECB within the framework of the Single Supervisory Mechanism","32013Q1130(01)","","2013-11-30","European Central Bank, European Parliament",
"2013/645/EU: Decision of the European Central Bank of 26 September 2013 on additional measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2013/35)","32013D0035","","2013-09-26","European Central Bank",
"2013/646/EU: Decision of the European Central Bank of 26 September 2013 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2013/36)","32013D0036(01)","","2013-09-26","European Central Bank",
"Regulation (EU) No 1072/2013 of the European Central Bank of 24 September 2013 concerning statistics on interest rates applied by monetary financial institutions (recast) (ECB/2013/34)","32013R1072","","2013-09-24","European Central Bank",
"Regulation (EU) No 1071/2013 of the European Central Bank of 24 September 2013 concerning the balance sheet of the monetary financial institutions sector (recast) (ECB/2013/33)","32013R1071","","2013-09-24","European Central Bank",
"Regulation (EU) No 1075/2013 of the European Central Bank of 18 October 2013 concerning statistics on the assets and liabilities of financial vehicle corporations engaged in securitisation transactions (recast) (ECB/2013/40)","32013R1075","","2013-10-18","European Central Bank",
"Regulation (EU) No 1073/2013 of the European Central Bank of 18 October 2013 concerning statistics on the assets and liabilities of investment funds (recast) (ECB/2013/38)","32013R1073","","2013-10-18","European Central Bank",
"Regulation (EU) No 1074/2013 of the European Central Bank of 18 October 2013 on statistical reporting requirements for post office giro institutions that receive deposits from non-monetary financial institution euro area residents (recast) (ECB/2013/39)","32013R1074","","2013-10-18","European Central Bank",
"2013/458/EU: Guideline of the European Central Bank of 30 July 2013 amending Guideline ECB/2011/23 on the statistical reporting requirements of the European Central Bank in the field of external statistics (ECB/2013/25)","32013O0025","","2013-07-30","European Central Bank",
"2013/388/EU: Decision of the European Central Bank of 5 July 2013 on temporary measures relating to the eligibility of marketable debt instruments issued or fully guaranteed by the Republic of Cyprus (ECB/2013/22)","32013D0022(01)","","2013-07-05","European Central Bank",
"2013/376/EU: Decision of the European Central Bank of 28 June 2013 repealing Decision ECB/2013/13 on temporary measures relating to the eligibility of marketable debt instruments issued or fully guaranteed by the Republic of Cyprus (ECB/2013/21)","32013D0021(01)","","2013-06-28","European Central Bank",
"2013/358/EU: Decision of the European Central Bank of 21 June 2013 amending Decision ECB/2010/29 on the issue of euro banknotes (ECB/2013/16)","32013D0016(01)","","2013-06-21","European Central Bank",
"2013/361/EU: Decision of the European Central Bank of 21 June 2013 on the paying-up of the European Central Bank’s capital by the national central banks of Member States whose currency is the euro (ECB/2013/19)","32013D0019(01)","","2013-06-21","European Central Bank",
"2013/359/EU: Decision of the European Central Bank of 21 June 2013 on the national central banks’ percentage shares in the key for subscription to the European Central Bank’s capital (ECB/2013/17)","32013D0017(01)","","2013-06-21","European Central Bank",
"2013/357/EU: Decision of the European Central Bank of 21 June 2013 laying down the measures necessary for the contribution to the European Central Bank’s accumulated equity value and for adjusting the national central banks’ claims equivalent to the transferred foreign reserve assets (ECB/2013/15)","32013D0015(01)","","2013-06-21","European Central Bank",
"2013/362/EU: Decision of the European Central Bank of 21 June 2013 on the paying-up of the European Central Bank’s capital by the non-euro area national central banks (ECB/2013/20)","32013D0020","","2013-06-21","European Central Bank",
"2013/360/EU: Decision of the European Central Bank of 21 June 2013 laying down the terms and conditions for transfers of the European Central Bank’s capital shares between the national central banks and for the adjustment of the paid-up capital (ECB/2013/18)","32013D0018(01)","","2013-06-21","European Central Bank",
"Agreement of 21 June 2013 between the European Central Bank and the national central banks of the Member States whose currency is not the euro amending the Agreement of 16 March 2006 between the European Central Bank and the national central banks of the Member States outside the euro area laying down the operating procedures for an exchange rate mechanism in stage three of economic and monetary union","32013Y0629(01)","","2013-06-21","European Central Bank, Non-euro area Member States: Denmark, Greece, Sweden, United Kingdom",
"2013/234/EU: Guideline of the European Central Bank of 15 May 2013 amending Guideline ECB/2006/4 on the Eurosystem’s provision of reserve management services in euro to central banks and countries located outside the euro area and to international organisations (ECB/2013/14)","32013O0014","","2013-05-15","European Central Bank",
"2013/220/EU: Decision of the European Central Bank of 2 May 2013 on temporary measures relating to the eligibility of marketable debt instruments issued or fully guaranteed by the Republic of Cyprus (ECB/2013/13)","32013D0013(01)","","2013-05-02","European Central Bank",
"2013/211/EU: Decision of the European Central Bank of 19 April 2013 on the denominations, specifications, reproduction, exchange and withdrawal of euro banknotes (ECB/2013/10)","32013D0010","","2013-04-19","European Central Bank",
"2013/212/EU: Guideline of the European Central Bank of 19 April 2013 amending Guideline ECB/2003/5 on the enforcement of measures to counter non-compliant reproductions of euro banknotes and on the exchange and withdrawal of euro banknotes (ECB/2013/11)","32013O0011","","2013-04-19","European Central Bank",
"2013/170/EU: Guideline of the European Central Bank of 20 March 2013 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral and amending Guideline ECB/2007/9 (ECB/2013/4)","32013O0004","","2013-03-20","European Central Bank",
"2013/169/EU: Decision of the European Central Bank of 20 March 2013 on the rules concerning the use as collateral for Eurosystem monetary policy operations of own-use uncovered government-guaranteed bank bonds (ECB/2013/6)","32013D0006(01)","","2013-03-20","European Central Bank",
"2013/168/EU: Decision of the European Central Bank of 20 March 2013 repealing Decisions ECB/2011/4 on temporary measures relating to the eligibility of marketable debt instruments issued or guaranteed by the Irish Government, ECB/2011/10 on temporary measures relating to the eligibility of marketable debt instruments issued or guaranteed by the Portuguese Government, ECB/2012/32 on temporary measures relating to the eligibility of marketable debt instruments issued or fully guaranteed by the Hellenic Republic and ECB/2012/34 on temporary changes to the rules relating to the eligibility of foreign currency denominated collateral (ECB/2013/5)","32013D0005(01)","","2013-03-20","European Central Bank",
"2013/215/EU: Guideline of the European Central Bank of 22 March 2013 concerning statistics on holdings of securities (ECB/2013/7)","32013O0007","","2013-03-22","European Central Bank",
"2013/74/EU: Guideline of the European Central Bank of 23 January 2013 amending Guideline ECB/2012/18 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2013/2)","32013O0002","","2013-01-23","European Central Bank",
"2013/132/EU: Decision of the European Central Bank of 11 January 2013 laying down the framework for a public key infrastructure for the European System of Central Banks (ECB/2013/1)","32013D0001(01)","","2013-01-11","European Central Bank",
"2012/833/EU: Guideline of the European Central Bank of 10 December 2012 amending Guideline ECB/2010/20 on the legal framework for accounting and financial reporting in the European System of Central Banks (ECB/2012/29)","32012O0029","","2012-12-10","European Central Bank",
"2013/32/EU: Decision of the European Central Bank of 19 December 2012 amending Decision ECB/2010/24 on the interim distribution of the income of the European Central Bank on euro banknotes in circulation and arising from securities purchased under the securities markets programme (ECB/2012/33)","32012D0033(01)","","2012-12-19","European Central Bank",
"2013/35/EU: Decision of the European Central Bank of 19 December 2012 on temporary changes to the rules relating to the eligibility of foreign currency denominated collateral (ECB/2012/34)","32012D0034(01)","","2012-12-19","European Central Bank",
"2012/839/EU: Decision of the European Central Bank of 19 December 2012 on temporary measures relating to the eligibility of marketable debt instruments issued or fully guaranteed by the Hellenic Republic (ECB/2012/32)","32012D0032(01)","","2012-12-19","European Central Bank",
"2013/31/EU: Decision of the European Central Bank of 11 December 2012 amending Decision ECB/2007/7 concerning the terms and conditions of TARGET2-ECB (ECB/2012/31)","32012D0031(01)","","2012-12-11","European Central Bank",
"2012/832/EU: Decision of the European Central Bank of 10 December 2012 amending Decision ECB/2010/21 on the annual accounts of the European Central Bank (ECB/2012/30)","32012D0030","","2012-12-10","European Central Bank",
"2013/20/EU: Decision of the European Central Bank of 7 December 2012 amending Decision ECB/2009/4 concerning derogations that may be granted under Regulation (EC) No 958/2007 concerning statistics on the assets and liabilities of investment funds (ECB/2007/8) (ECB/2012/28)","32012D0028(01)","","2012-12-07","European Central Bank",
"2013/47/EU: Guideline of the European Central Bank of 5 December 2012 on a Trans-European Automated Real-time Gross settlement Express Transfer system (TARGET2) (ECB/2012/27)","32012O0027","","2012-12-05","European Central Bank",
"2012/754/EU: Decision of the European Central Bank of 29 November 2012 on the approval of the volume of coin issuance in 2013 (ECB/2012/26)","32012D0026(01)","","2012-11-29","European Central Bank",
"2012/791/EU: Guideline of the European Central Bank of 26 November 2012 amending Guideline ECB/2011/14 on monetary policy instruments and procedures of the Eurosystem (ECB/2012/25)","32012O0025","","2012-11-26","European Central Bank",
"Regulation (EU) No 1011/2012 of the European Central Bank of 17 October 2012 concerning statistics on holdings of securities (ECB/2012/24)","32012R1011","","2012-10-17","European Central Bank",
"2012/641/EU: Guideline of the European Central Bank of 10 October 2012 amending Guideline ECB/2012/18 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2012/23)","32012O0023","","2012-10-10","European Central Bank",
"2012/689/EU: Guideline of the European Central Bank of 26 September 2012 on the data quality management framework for the Centralised Securities Database (ECB/2012/21)","32012O0021","","2012-09-26","European Central Bank",
"2012/507/EU: Decision of the European Central Bank of 7 September 2012 amending Decision ECB/2010/14 on the authenticity and fitness checking and recirculation of euro banknotes (ECB/2012/19)","32012D0019(01)","","2012-09-07","European Central Bank",
"2012/476/EU: Guideline of the European Central Bank of 2 August 2012 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral and amending Guideline ECB/2007/9 (ECB/2012/18)","32012O0018","","2012-08-02","European Central Bank",
"2012/475/EU: Decision of the European Central Bank of 2 August 2012 repealing Decision ECB/2011/25 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2012/17)","32012D0017(01)","","2012-08-02","European Central Bank",
"2012/502/EU: Guideline of the European Central Bank of 20 July 2012 on the Data Exchange for Cash Services (ECB/2012/16)","32012O0016","","2012-07-20","European Central Bank",
"2012/473/EU: Guideline of the European Central Bank of 18 July 2012 on TARGET2-Securities (ECB/2012/13)","32012O0013","","2012-07-18","European Central Bank",
"2012/433/EU: Decision of the European Central Bank of 18 July 2012 repealing Decision ECB/2012/3 on the eligibility of marketable debt instruments issued or fully guaranteed by the Hellenic Republic in the context of the Hellenic Republic’s debt exchange offer (ECB/2012/14)","32012D0014(01)","","2012-07-18","European Central Bank",
"2012/458/EU: Decision of the European Central Bank of 17 July 2012 on the sub-delegation of powers to grant, renew or extend accreditations (ECB/2012/15)","32012D0015(01)","","2012-07-17","European Central Bank",
"2012/386/EU: Decision of the European Central Bank of 3 July 2012 amending Decision ECB/2011/25 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2012/12)","32012D0012(01)","","2012-07-03","European Central Bank",
"2012/359/EU: Decision of the European Central Bank of 28 June 2012 amending Decision ECB/2011/25 on additional temporary measures relating to Eurosystem refinancing operations and eligibility of collateral (ECB/2012/11)","32012D0011(01)","","2012-06-28","European Central Bank",
"2012/367/EU: Decision of the European Central Bank of 19 June 2012 amending Decision ECB/2007/5 laying down the Rules on Procurement (ECB/2012/10)","32012D0010(01)","","2012-06-19","European Central Bank",
"2012/258/EU: Decision of the European Central Bank of 26 April 2012 amending Decision ECB/2010/22 on the quality accreditation procedure for manufacturers of euro banknotes (ECB/2012/7)","32012D0007(01)","","2012-04-26","European Central Bank",
"2012/259/EU: Decision of the European Central Bank of 26 April 2012 amending Decision ECB/2011/8 on the environmental and health and safety accreditation procedures for the production of euro banknotes (ECB/2012/8)","32012D0008(01)","","2012-04-26","European Central Bank",
"2012/235/EU: Decision of the European Central Bank of 29 March 2012 on the establishment of the TARGET2-Securities Board and repealing Decision ECB/2009/6 (ECB/2012/6)","32012D0006(01)","","2012-03-29","European Central Bank",
